time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,21,12,0,0
2026-06-19 00:00:00+00:00,27,13,0,0
2026-06-20 00:00:00+00:00,28,13,0,0
2026-06-21 00:00:00+00:00,36,16,1,1
2026-06-22 00:00:00+00:00,25,13,16,1
2026-06-23 00:00:00+00:00,29,15,6,1
2026-06-24 00:00:00+00:00,24,11,17,1
2026-06-25 00:00:00+00:00,62,18,5,1
2026-06-26 00:00:00+00:00,11,9,0,0
2026-06-27 00:00:00+00:00,17,11,0,0
2026-06-28 00:00:00+00:00,22,15,0,0
2026-06-29 00:00:00+00:00,16,10,0,0
2026-06-30 00:00:00+00:00,24,15,0,0
2026-07-01 00:00:00+00:00,31,19,3,1
