time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,0,0,0,0
2026-06-01 00:00:00+00:00,0,0,25,1
2026-06-02 00:00:00+00:00,0,0,9,2
2026-06-03 00:00:00+00:00,0,0,1,1
2026-06-04 00:00:00+00:00,0,0,0,0
2026-06-05 00:00:00+00:00,0,0,0,0
2026-06-06 00:00:00+00:00,0,0,0,0
2026-06-07 00:00:00+00:00,0,0,20,1
2026-06-08 00:00:00+00:00,0,0,2,2
2026-06-09 00:00:00+00:00,0,0,0,0
2026-06-10 00:00:00+00:00,3,2,0,0
2026-06-11 00:00:00+00:00,0,0,33,4
2026-06-12 00:00:00+00:00,0,0,44,3
2026-06-13 00:00:00+00:00,0,0,14,2
