time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,0,0,0,0
2026-06-21 00:00:00+00:00,4,1,2,1
2026-06-22 00:00:00+00:00,0,0,2,1
2026-06-23 00:00:00+00:00,0,0,7,1
2026-06-24 00:00:00+00:00,1,1,3,1
2026-06-25 00:00:00+00:00,0,0,1,1
2026-06-26 00:00:00+00:00,1,1,0,0
2026-06-27 00:00:00+00:00,0,0,0,0
2026-06-28 00:00:00+00:00,0,0,1,1
2026-06-29 00:00:00+00:00,0,0,0,0
2026-06-30 00:00:00+00:00,0,0,12,1
2026-07-01 00:00:00+00:00,44,23,39,1
2026-07-02 00:00:00+00:00,25,11,38,1
2026-07-03 00:00:00+00:00,2,2,0,0
