url_path,views_total,views_unique
/jodithea/Tutorial_GWAS_including_X_chromosome,7,4
/jodithea/Tutorial_GWAS_including_X_chromosome/tree/main/05_GWAS,5,2
/jodithea/Tutorial_GWAS_including_X_chromosome/tree/main/02_QC,5,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/05_GWAS/06_GWAS_plots.sh,3,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/02_QC/02_Sample_QC.sh,2,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/05_GWAS/06_GWAS_plots.R,2,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/01_Data/04_Download_HRC_reference_panel.md,1,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/01_Data/05_b_Tidy_1000G_reference_data.sh,1,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/02_QC/01_Split_X_chromosome.sh,1,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/02_QC/03_Variant_QC_autosomes_XPAR.sh,1,1
